time_ms,power_mw,power_dbm
13.8,2.7007439114015783e-14,-135.6851659431604
13.85,1.1560997426392392e-13,-129.3700469549234
13.9,1.3267329177559176e-14,-138.77216495386614
13.95,1.4912730737817772e-13,-128.2644282363102
14.0,1.6731491484598608e-13,-127.76465343277923
14.05,1.0612497436734499e-13,-129.7418240164431
14.1,5.511188116274018e-14,-132.58754764720234
14.15,1.3082370718576103e-13,-128.83313548312847
14.2,9.882175709576401e-14,-130.05147428424638
14.25,1.4427454556283576e-13,-128.40810284961518
14.3,1.6198060883293165e-14,-137.90536972993883
14.35,6.425928729605962e-14,-131.92064095546172
14.4,2.7342458116960397e-15,-145.6316244446302
14.45,5.331447860605483e-13,-122.73154833659633
14.5,9.918804183250431e-14,-130.0354068348294
14.55,1.945682713197638e-13,-127.10927979659742
14.6,1.1215792437903678e-13,-129.50170036459014
14.65,1.7245091988806466e-17,-167.63334484675858
14.7,2.0958893670821573e-13,-126.78631645607118
14.75,5.35866168805371e-14,-132.70943660692785
14.8,2.939274831771308e-13,-125.31759804080032
14.85,4.845299102407184e-15,-143.1467940859969
14.9,4.123059200275236e-13,-123.8478042940716
14.95,2.2423951547697363e-14,-136.49287853643702
15.0,1.5115186006764415e-14,-138.20586504045917
15.05,1.0566489363855678e-14,-139.76069279783783
15.1,6.225572161346462e-14,-132.05820728554056
15.15,1.524948646525338e-15,-148.16744781173716
15.2,1.2660224352693454e-13,-128.97558598088534
15.25,1.278860126578273e-13,-128.9317695323606
15.3,1.4340375032115335e-13,-128.43439490770837
15.35,1.2455678626286227e-13,-129.04632605692913
15.4,1.778539471867242e-13,-127.49936491892927
15.45,6.512461520993678e-14,-131.86254829722282
15.5,8.573701577261485e-14,-130.66831636944363
15.55,3.793273215839971e-14,-134.20985875499588
15.6,7.247321399890482e-16,-151.39822478421777
15.65,1.7839495134594644e-13,-127.48617440507104
15.7,3.445525687942848e-14,-134.62744507876633
15.75,3.953054336616375e-15,-144.0306721603131
15.8,2.0462245284488356e-13,-126.89046713675526
15.85,4.557522892787226e-13,-123.41271141172997
15.9,1.7853599182060094e-14,-137.4827421947666
15.95,5.8791453690988386e-15,-142.3068580121304
16.0,1.159275031741173e-13,-129.35813517791706
16.05,6.988670600367508e-15,-141.55605428808482
16.1,7.195678604205343e-14,-131.42928242705207
16.15,1.8451011729683683e-13,-127.33979815056573
16.2,3.128856852441843e-14,-135.0461430569903
16.25,4.241678016294785e-14,-133.72462301650134
16.3,8.187653174356553e-14,-130.86840562156732
16.35,1.972970168236554e-14,-137.04879481330778
16.4,3.316151948473068e-14,-134.79365577979576
16.45,3.8183359094896046e-13,-124.18125868184188
16.5,4.6586694988983193e-14,-133.31738098715982
16.55,1.9485994601032965e-14,-137.1027742211577
16.6,7.913445603023593e-15,-141.01634378631704
16.65,1.1109439377559843e-13,-129.5430785657447
16.7,9.91488313068928e-14,-130.0371240057072
16.75,4.4773503994126954e-15,-143.48978916209242
16.8,1.6858337916952275e-13,-127.73185245196338
16.85,8.933578687634854e-14,-130.48974532942066
16.9,2.70412074490513e-14,-135.67973920099024
16.95,1.9362349586198303e-13,-127.1304194297775
17.0,1.8300961492730213e-14,-137.37526092782258
17.05,1.3776517583229284e-14,-138.60860549157132
17.1,7.550886805439369e-14,-131.22002040146694
17.15,2.0910510764669017e-14,-136.79635358881603
17.2,1.359321553391442e-13,-128.66677796876803
