frequency_mhz,amplitude_spectrum,power_spectrum
-3.466386554621849,1.629301225900071e-16,2.6546224847194744e-32
-3.4593837535014007,6.359601310784502e-17,4.044452883213195e-33
-3.4523809523809526,9.530338159603443e-17,9.082734543639355e-33
-3.4453781512605044,1.5188623530322546e-16,2.3069428474586774e-32
-3.4383753501400562,2.279763101048892e-16,5.19731979690406e-32
-3.431372549019608,1.885017535384167e-16,3.553291108705799e-32
-3.42436974789916,1.2001660173517864e-16,1.4403984692060485e-32
-3.417366946778712,9.434384139305589e-17,8.900760408798086e-33
-3.4103641456582636,5.589908702062278e-17,3.1247079297391584e-33
-3.4033613445378155,1.417955259056786e-16,2.0105971166867976e-32
-3.3963585434173673,1.4878784793893287e-16,2.2137823694299012e-32
-3.389355742296919,3.23993542036189e-16,1.0497181528115576e-31
-3.382352941176471,1.2838231085333626e-16,1.648201774004266e-32
-3.375350140056023,2.8219100050169584e-16,7.96317607641481e-32
-3.3683473389355747,1.7556207187509253e-16,3.082204108107516e-32
-3.361344537815126,1.0356972904186164e-16,1.0726688773804638e-32
-3.354341736694678,1.6333122858655895e-16,2.6677090231594775e-32
-3.34733893557423,5.245344553209011e-17,2.7513639481879442e-33
-3.3403361344537816,9.197969450064275e-17,8.46026420043157e-33
-3.3333333333333335,2.037599426857588e-16,4.151811424330371e-32
-3.3263305322128853,9.726014298729278e-17,9.459535413908637e-33
-3.319327731092437,9.600938181806618e-17,9.217801397087216e-33
-3.312324929971989,3.190052538824953e-16,1.0176435200463527e-31
-3.305322128851541,2.356023487241675e-16,5.550846672434425e-32
-3.2983193277310923,1.0089978379204206e-16,1.0180766369280834e-32
-3.291316526610644,2.0412191775811004e-16,4.166575730924863e-32
-3.284313725490196,1.4336017642795489e-16,2.0552140185454353e-32
-3.277310924369748,1.5120698615849142e-16,2.2863552663134217e-32
-3.2703081232492996,1.7483981652877016e-16,3.0568961443814014e-32
-3.2633053221288515,2.2738701536117827e-16,5.170485475486471e-32
-3.2563025210084033,1.8784148493370836e-16,3.528442346210059e-32
-3.249299719887955,1.2018929801224936e-16,1.444546735667729e-32
-3.242296918767507,1.7759192924246537e-16,3.153889333206083e-32
-3.235294117647059,1.5166010380819322e-16,2.3000787087111947e-32
-3.2282913165266107,1.4294265005937123e-16,2.0432601205995863e-32
-3.2212885154061626,2.0854458450472058e-16,4.349084372624654e-32
-3.2142857142857144,2.450177627140381e-16,6.003370404539269e-32
-3.2072829131652663,1.7000816662937345e-16,2.8902776720680807e-32
-3.200280112044818,3.960301838565241e-17,1.5683990652543232e-33
-3.19327731092437,6.879572883186501e-17,4.732852305507503e-33
-3.186274509803922,9.108413193037741e-17,8.296319089510398e-33
-3.1792717086834736,7.817060780030522e-17,6.110643923869139e-33
-3.1722689075630255,1.7094095613030527e-16,2.922081048274295e-32
-3.1652661064425773,2.173535815313895e-16,4.724257940452238e-32
-3.158263305322129,2.228899283567118e-17,4.967992016286012e-34
-3.151260504201681,1.1083532369899727e-16,1.2284468979461507e-32
-3.144257703081233,2.4717091637507066e-16,6.109346190169218e-32
-3.1372549019607847,7.868056260464646e-17,6.19063093178369e-33
-3.1302521008403366,2.50542388892881e-16,6.277148863215161e-32
-3.1232492997198884,8.554842949272357e-17,7.318533788671496e-33
-3.1162464985994403,1.3976715553929213e-16,1.9534857767544682e-32
-3.1092436974789917,7.296888956052396e-17,5.324458843695941e-33
-3.1022408963585435,4.131191854631051e-17,1.7066746139769944e-33
-3.0952380952380953,1.7141982263922723e-16,2.9384755593664126e-32
-3.088235294117647,1.5805939336628497e-16,2.498277183131801e-32
-3.081232492997199,5.374844106186572e-17,2.8888949165808534e-33
-3.074229691876751,9.294638045668065e-17,8.639029639998026e-33
-3.0672268907563027,1.465859817578183e-16,2.148745004790344e-32
-3.0602240896358546,1.4817757637303799e-16,2.1956594139787503e-32
-3.0532212885154064,1.6149930899136463e-16,2.6082026804688267e-32
-3.046218487394958,1.3134079400647582e-16,1.7250404170251514e-32
